Age,Date,Tm,Home,Opp,Win,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
32-354,2017-12-19,CLE,A,MIL,L,1,34,14,22,.636,8,11,.727,6,11,.545,5,5,1.000,0,1,1,7,3,2,7,1,39,31.4
32-356,2017-12-21,CLE,H,CHI,W,1,39,12,23,.522,10,18,.556,2,5,.400,8,8,1.000,1,5,6,9,3,0,4,1,34,29.8
32-360,2017-12-25,CLE,A,GSW,L,1,40,7,18,.389,5,11,.455,2,7,.286,4,7,.571,1,5,6,6,0,0,7,2,20,7.6
32-362,2017-12-27,CLE,A,SAC,L,1,38,6,17,.353,6,15,.400,0,2,.000,4,5,.800,2,8,10,14,5,0,4,2,16,19.9
33-000,2017-12-30,CLE,A,UTA,L,1,37,12,22,.545,11,15,.733,1,7,.143,4,5,.800,1,7,8,6,2,1,6,1,29,21.3
33-003,2018-01-02,CLE,H,POR,W,1,34,10,17,.588,10,15,.667,0,2,.000,4,4,1.000,1,5,6,8,4,1,3,2,24,24.8
33-009,2018-01-08,CLE,A,MIN,L,1,27,4,8,.500,3,5,.600,1,3,.333,1,3,.333,1,7,8,5,0,2,3,2,10,9.1
33-012,2018-01-11,CLE,A,TOR,L,1,32,9,16,.563,9,15,.600,0,1,.000,8,10,.800,0,3,3,1,1,2,2,1,26,19.2
33-013,2018-01-12,CLE,A,IND,L,1,40,11,25,.440,9,16,.563,2,9,.222,3,4,.750,2,6,8,11,3,1,5,2,27,22.3
33-016,2018-01-15,CLE,H,GSW,L,1,36,12,18,.667,12,16,.750,0,2,.000,8,13,.615,2,6,8,6,3,4,8,3,32,26.2
33-019,2018-01-18,CLE,H,ORL,W,1,35,7,16,.438,7,12,.583,0,4,.000,2,8,.250,1,4,5,6,1,0,6,1,16,5.9
33-021,2018-01-20,CLE,H,OKC,L,1,38,8,17,.471,8,13,.615,0,4,.000,2,4,.500,0,3,3,7,0,1,2,2,18,12.2
33-024,2018-01-23,CLE,A,SAS,L,1,38,10,23,.435,8,17,.471,2,6,.333,6,10,.600,2,7,9,7,0,1,5,0,28,18.4
33-027,2018-01-26,CLE,H,IND,W,1,40,11,17,.647,11,15,.733,0,2,.000,4,5,.800,0,10,10,11,4,1,11,0,26,22.5
33-029,2018-01-28,CLE,H,DET,W,1,38,8,15,.533,7,11,.636,1,4,.250,8,9,.889,1,7,8,14,1,0,3,0,25,27.9
33-031,2018-01-30,CLE,A,DET,L,1,38,9,20,.450,7,13,.538,2,7,.286,1,2,.500,0,6,6,7,0,1,4,2,21,12.8
33-032,2018-01-31,CLE,H,MIA,W,1,38,8,21,.381,7,15,.467,1,6,.167,7,11,.636,2,9,11,5,1,0,7,1,24,12.1
